sample_id,runtime_seconds,peak_gpu_memory_mb
real::pYp81LS_O0Q_33_0to295,44.677250353619456,479.45849609375
open_sora::pYp81LS_O0Q_33_0to295,16.63460801448673,443.23095703125
real::ZmAuHYg5EG0_28_0to343,47.126720763742924,479.69287109375
open_sora::ZmAuHYg5EG0_28_0to343,19.302413920871913,443.23095703125
real::MZQw-TcAX4Q_16_95to231,58.268373721279204,480.162109375
open_sora::MZQw-TcAX4Q_16_95to231,29.108408803120255,446.53759765625
real::VW-NXFTWPA8_19_0to261,74.17985377367586,483.79052734375
open_sora::VW-NXFTWPA8_19_0to261,23.26932601071894,443.9345703125
real::4kfC0xu---s_10_0to190,62.26848453003913,480.8642578125
open_sora::4kfC0xu---s_10_0to190,18.891384948976338,443.46533203125
real::B8YGMGaOUAM_69_0to186,86.45834197103977,482.9560546875
open_sora::B8YGMGaOUAM_69_0to186,24.14931657165289,446.58203125
real::uIwBXtxxePw_47_162to288,48.82649243064225,479.45849609375
open_sora::uIwBXtxxePw_47_162to288,17.194348057731986,443.23095703125
real::30Ub3hf0VUw_12_0to629,59.106249392963946,480.162109375
open_sora::30Ub3hf0VUw_12_0to629,16.935085895471275,443.23095703125
real::b1BYr5vTvho_13_0to109,59.55534454807639,479.45849609375
open_sora::b1BYr5vTvho_13_0to109,13.131646525114775,443.23095703125
real::H_2h6gChu88_4_0to111,47.490921567194164,479.69287109375
open_sora::H_2h6gChu88_4_0to111,19.714793409220874,444.9853515625
real::d-DpJdkLzx0_1_76to214,48.94310932327062,479.69287109375
open_sora::d-DpJdkLzx0_1_76to214,15.011607804335654,443.23095703125
real::aqaBeGdz-yI_3_0to225,50.23562953155488,479.69287109375
open_sora::aqaBeGdz-yI_3_0to225,18.356932076625526,443.46533203125
real::4yFGFzopMLo_5_185to361,49.29368455335498,479.45849609375
open_sora::4yFGFzopMLo_5_185to361,19.699228805489838,443.69970703125
real::5nPHMLahBcs_19_0to139,64.0615332396701,480.162109375
open_sora::5nPHMLahBcs_19_0to139,20.511237013153732,443.69970703125
real::DpxSVWnlH0o_34_22to439,59.03157461434603,480.162109375
open_sora::DpxSVWnlH0o_34_22to439,28.309957860969007,445.47314453125
real::77v7cMXDAoo_5_0to131,78.82436483819038,482.56982421875
open_sora::77v7cMXDAoo_5_0to131,21.196676647290587,446.29052734375
real::97onxOBIFE4_158_37to216,43.7955094948411,479.69287109375
open_sora::97onxOBIFE4_158_37to216,14.122286536730826,443.9345703125
real::FDPBk67FO0U_27_18to123,71.38359290082008,483.791015625
open_sora::FDPBk67FO0U_27_18to123,27.555628792382777,445.18896484375
real::AApWlauaoWw_12_0to102,40.44708121754229,479.22314453125
open_sora::AApWlauaoWw_12_0to102,13.292962055653334,445.22998046875
real::PcvAzZfzFVo_361_574to804,51.17100748885423,479.92724609375
open_sora::PcvAzZfzFVo_361_574to804,19.486471323296428,443.46533203125
real::NAauLEZdXfs_32_0to493,59.33400953374803,479.92724609375
open_sora::NAauLEZdXfs_32_0to493,19.478176018223166,443.46533203125
real::v37iwLFOxvc_28_0to168,55.69067615736276,479.45849609375
open_sora::v37iwLFOxvc_28_0to168,15.64420426916331,443.23095703125
real::lYuyr2xMJ04_12_0to125,44.22140114568174,479.45849609375
open_sora::lYuyr2xMJ04_12_0to125,16.10077020712197,443.23095703125
real::yX9NlKdyr-0_45_0to260,40.48498852364719,479.22314453125
open_sora::yX9NlKdyr-0_45_0to260,17.93742821831256,443.23095703125
real::MBPJEPcf3hE_45_0to373,51.221316824667156,479.45849609375
open_sora::MBPJEPcf3hE_45_0to373,15.047023359686136,443.9345703125
real::FVJ6BkjVr6k_24_0to249,103.11166448518634,483.92041015625
open_sora::FVJ6BkjVr6k_24_0to249,24.099096215330064,444.98583984375
real::SUUqUHu4Iz0_5_0to889,67.41476133931428,482.56982421875
open_sora::SUUqUHu4Iz0_5_0to889,25.51519787311554,444.98583984375
real::Jz5QTrtaHAo_19_0to862,48.438283008523285,479.69287109375
open_sora::Jz5QTrtaHAo_19_0to862,17.07270522043109,443.46533203125
real::bCL0_LhEK6s_31_16to121,60.99669788777828,481.205078125
open_sora::bCL0_LhEK6s_31_16to121,18.389356886036694,443.46533203125
real::3HkhewgRzq0_2_0to226,48.77743698563427,479.45849609375
open_sora::3HkhewgRzq0_2_0to226,17.165358372032642,443.23095703125
